Sheet,ID,Species,Location,latitude,longitude,biomass,size,source,Institution
JNCC90s,,Laminaria digitata,W side of the outer neck of Inishee Island (Roundstone Bay),53.40677714,-9.90388782,,,,JNCC
JNCC90s,,Laminaria digitata,Ballynacourty Point (Dungarvan Harbour (NE)),52.08004952,-7.56615194,,,,JNCC
JNCC90s,,Laminaria digitata,Rush Pier (Skerries to Malahide),53.52107035,-6.07539096,,,,JNCC
JNCC90s,,Laminaria digitata,"Pollnagat, Easky (Sligo Bay)",54.29817255,-8.94597943,,,,JNCC
JNCC90s,,Laminaria digitata,Clogher Head,53.79762815,-6.22177063,,,,JNCC
JNCC90s,,Laminaria digitata,"Fort Promontory, N of Inishcrone (Killala Bay)",54.23434278,-9.09008539,,,,JNCC
JNCC90s,,Laminaria digitata,"Duggerna Rock, Kilkee (Moore Bay)",52.69323432,-9.67114397,,,,JNCC
JNCC90s,,Laminaria digitata,Hook Head,52.12563909,-6.94702678,,,,JNCC
JNCC90s,,Laminaria digitata,Ballynacourty Point (Dungarvan Harbour (NE)),52.08004952,-7.56615194,,,,JNCC
JNCC90s,,Laminaria digitata,S Rusheen Point (Killary Harbour),53.62039871,-9.85908269,,,,JNCC
JNCC90s,,Laminaria digitata,S of Ballymore Point (Ventry),52.13162289,-10.33655944,,,,JNCC
JNCC90s,,Laminaria digitata,"Ardfry Rapids, Mweelon Bay (North Bay, Galway Bay)",53.23529438,-8.97237108,,,,JNCC
JNCC90s,,Laminaria digitata,"NE Termon, Dunglow Bay (Gweebarra Bay)",54.94883951,-8.43423808,,,,JNCC
JNCC90s,,Laminaria digitata,E of Reencaheragh Point (Valentia Island),51.88500402,-10.38798248,,,,JNCC
JNCC90s,,Laminaria digitata,Furreera (Liscannor Bay),52.94323206,-9.43146049,,,,JNCC
JNCC90s,,Laminaria digitata,"Duggerna Rock, Kilkee (Moore Bay)",52.69323432,-9.67114397,,,,JNCC
JNCC90s,,Laminaria digitata,W of Murreagh Point (Valentia Island),51.94880578,-10.34292863,,,,JNCC
JNCC90s,,Laminaria digitata,Ballycotton (S of Ballycotton Bay),51.83096712,-8.01667586,,,,JNCC
JNCC90s,,Laminaria digitata,Magrath's Point (Doughmore Bay),52.75588959,-9.52106523,,,,JNCC
JNCC90s,,Laminaria digitata,"Belacoon cove, S (Galley Head, Glandore Bay)",51.55357411,-8.96989403,,,,JNCC
JNCC90s,,Laminaria digitata,E of Kilshannig Point (Tralee Bay),52.30469956,-9.97886608,,,,JNCC
JNCC90s,,Laminaria digitata,E of Canower Point (Bertraghboy Bay (N coast)),53.40149494,-9.861271,,,,JNCC
JNCC90s,,Laminaria digitata,Ballycotton (S of Ballycotton Bay),51.83096712,-8.01667586,,,,JNCC
