"species","lng","lat"
"Alaria esculenta",-6.518333,55.23938
"Alaria esculenta",-6.531203,55.23145
"Alaria esculenta",-6.531203,55.23145
"Alaria esculenta",-6.558432,55.2174
"Alaria esculenta",-6.558432,55.2174
"Alaria esculenta",-6.558432,55.2174
"Alaria esculenta",-6.558432,55.2174
"Alaria esculenta",-6.564747,55.21658
"Alaria esculenta",-6.564747,55.21658
"Alaria esculenta",-6.564747,55.21658
"Alaria esculenta",-6.564747,55.21658
"Alaria esculenta",-6.564747,55.21658
"Alaria esculenta",-5.570485,54.66621
"Alaria esculenta",-6.041112,55.12844
"Alaria esculenta",-6.694276,55.19558
"Alaria esculenta",-6.694276,55.19558
"Alaria esculenta",-6.694276,55.19558
"Alaria esculenta",-6.582247,55.2105
"Alaria esculenta",-6.582247,55.2105
"Alaria esculenta",-6.189903,55.30502
"Alaria esculenta",-6.513338,55.23817
"Alaria esculenta",-6.69334,55.19566
"Alaria esculenta",-6.114329,55.20816
"Alaria esculenta",-6.049495,55.08784
"Alaria esculenta",-5.966498,54.98017
"Alaria esculenta",-5.847334,54.90033
"Alaria esculenta",-6.545501,55.2175
"Alaria esculenta",-6.291163,55.22917
"Alaria esculenta",-5.466329,54.52833
"Alaria esculenta",-5.53434,54.30933
"Alaria esculenta",-5.530336,54.62867
"Alaria esculenta",-5.630498,54.68067
"Alaria esculenta",-5.70567,54.66783
"Alaria esculenta",-5.872166,54.17333
"Alaria esculenta",-5.90217,54.09883
"Alaria esculenta",-5.748335,54.72533
"Alaria esculenta",-6.722993,55.17583
"Alaria esculenta",-6.69334,55.19566
"Alaria esculenta",-5.796995,54.853
"Alaria esculenta",-6.711502,55.189
"Alaria esculenta",-5.78917,54.85083
"Alaria esculenta",-5.872166,54.17333
"Alaria esculenta",-6.290739,55.23005
"Alaria esculenta",-6.545501,55.2175
"Alaria esculenta",-6.422331,55.239
"Alaria esculenta",-6.69334,55.19566
"Alaria esculenta",-6.181171,55.267
"Alaria esculenta",-6.172168,55.29467
"Alaria esculenta",-5.799841,54.8415
"Alaria esculenta",-5.78917,54.85083
"Alaria esculenta",-5.53434,54.30933
"Alaria esculenta",-6.69334,55.19566
"Alaria esculenta",-5.530336,54.62867
"Alaria esculenta",-5.466329,54.52833
"Alaria esculenta",-6.699329,55.21017
"Alaria esculenta",-5.630498,54.68067
"Alaria esculenta",-5.90217,54.09883
"Alaria esculenta",-5.531728,54.30778
"Alaria esculenta",-5.631691,54.68
"Alaria esculenta",-5.631638,54.6809
"Alaria esculenta",-5.706804,54.66797
"Alaria esculenta",-6.694276,55.19558
"Alaria esculenta",-5.963895,55.04362
"Alaria esculenta",-6.271339,55.306
"Alaria esculenta",-6.279995,55.29284
"Alaria esculenta",-6.230901,55.29526
"Alaria esculenta",-6.201828,55.29416
"Alaria esculenta",-6.278665,55.30317
"Alaria esculenta",-6.184831,55.2675
"Alaria esculenta",-6.193164,55.29258
"Alaria esculenta",-6.193164,55.29258
"Alaria esculenta",-6.19167,55.295
"Alaria esculenta",-6.699493,55.19583
"Alaria esculenta",-5.757673,54.72466
